n,tipoCurto,Ia_Trif_Ent,Ib_Trif_Ent,Ic_Trif_Ent,Vab_Trif_Ent,Vbc_Trif_Ent,Vca_Trif_Ent,Ia_Trif_Saida,Ib_Trif_Saida,Ic_Trif_Saida,Vab_Trif_Saida,Vbc_Trif_Saida,Vca_Trif_Saida
0.9,1,30.6598,18.8885,25.3792,12818.8827,13363.9237,13029.2112,53.0048,44.1326,32.5644,5959.5003,6525.8268,7152.9485
0.91,1,30.4208,18.8046,25.195,12828.0182,13366.1186,13036.9651,52.5819,43.8348,32.405,5979.2311,6536.3353,7156.9025
0.92,1,30.1853,18.7212,25.0135,12837.0135,13368.2941,13044.5725,52.1654,43.5408,32.2472,5998.6162,6546.7151,7160.8081
0.93,1,29.9531,18.6384,24.8346,12845.8715,13370.4504,13052.0373,51.755,43.2506,32.0909,6017.6642,6556.9679,7164.6666
0.94,1,29.7242,18.5561,24.6583,12854.5948,13372.5877,13059.3633,51.3506,42.9641,31.9361,6036.3834,6567.0958,7168.4794
0.95,1,29.4986,18.4743,24.4845,12863.1861,13374.7065,13066.5541,50.9522,42.6812,31.7828,6054.7817,6577.1003,7172.2475
0.96,1,29.2762,18.393,24.3132,12871.648,13376.8068,13073.6133,50.5595,42.4018,31.6309,6072.867,6586.9834,7175.9721
0.97,1,29.0569,18.3123,24.1443,12879.983,13378.8889,13080.5442,50.1725,42.1259,31.4804,6090.6466,6596.7467,7179.6544
0.98,1,28.8406,18.2321,23.9778,12888.1935,13380.953,13087.3503,49.7911,41.8534,31.3314,6108.1279,6606.392,7183.2954
0.99,1,28.6273,18.1524,23.8136,12896.2821,13382.9995,13094.0346,49.4151,41.5843,31.1837,6125.318,6615.9211,7186.8961
