n,tipoCurto,Ia_Trif_Ent,Ib_Trif_Ent,Ic_Trif_Ent,Vab_Trif_Ent,Vbc_Trif_Ent,Vca_Trif_Ent,Ia_Trif_Saida,Ib_Trif_Saida,Ic_Trif_Saida,Vab_Trif_Saida,Vbc_Trif_Saida,Vca_Trif_Saida
0.72,1,16.5513046,32.7440299,16.1937165,13712.4171,12608.2952,13811.7285,0.458713899,49.2826492,48.9180242,8742.62204,6482.16804,6357.46396
0.73,1,16.5044111,32.6502052,16.1467854,13713.0262,12611.9158,13811.7237,0.458533131,49.1419255,48.7772531,8740.65888,6485.80652,6361.99718
0.74,1,16.4577838,32.556913,16.1001206,13713.6303,12615.515,13811.719,0.458354078,49.0020003,48.6372808,8738.70608,6489.42991,6366.5059
0.75,1,16.4114203,32.4641487,16.0537198,13714.2293,12619.0929,13811.7143,0.458176722,48.862867,48.4981006,8736.76355,6493.03831,6370.9903
0.76,1,16.3653185,32.3719079,16.0075808,13714.8234,12622.6498,13811.7096,0.458001048,48.7245189,48.3597057,8734.83123,6496.63178,6375.45057
0.77,1,16.3194762,32.2801862,15.9617015,13715.4126,12626.1859,13811.705,0.457827038,48.5869494,48.2220896,8732.90903,6500.2104,6379.88691
0.78,1,16.2738912,32.1889792,15.9160796,13715.9969,12629.7013,13811.7004,0.457654676,48.450152,48.0852459,8730.99687,6503.77422,6384.2995
0.79,1,16.2285614,32.0982827,15.8707131,13716.5764,12633.1962,13811.6959,0.457483948,48.3141202,47.949168,8729.09469,6507.32333,6388.68852
0.8,1,16.1834846,32.0080924,15.8255997,13717.1512,12636.6709,13811.6914,0.457314837,48.1788478,47.8138495,8727.2024,6510.85779,6393.05415
0.81,1,16.1386588,31.9184041,15.7807374,13717.7212,12640.1254,13811.687,0.457147327,48.0443283,47.6792843,8725.31993,6514.37768,6397.39658
0.82,1,16.0940818,31.8292137,15.7361241,13718.2867,12643.5599,13811.6826,0.456981405,47.9105556,47.545466,8723.44721,6517.88307,6401.71598
0.83,1,16.0497516,31.740517,15.6917577,13718.8475,12646.9746,13811.6782,0.456817053,47.7775235,47.4123885,8721.58417,6521.37402,6406.01252
0.84,1,16.0056663,31.6523101,15.6476363,13719.4038,12650.3697,13811.6739,0.456654258,47.645226,47.2800456,8719.73073,6524.8506,6410.2864
0.85,1,15.9618237,31.5645888,15.6037578,13719.9556,12653.7454,13811.6696,0.456493005,47.5136569,47.1484315,8717.88682,6528.3129,6414.53777
0.86,1,15.9182219,31.4773492,15.5601202,13720.503,12657.1018,13811.6654,0.456333279,47.3828103,47.01754,8716.05237,6531.76097,6418.76681
0.87,1,15.8748589,31.3905874,15.5167216,13721.046,12660.439,13811.6612,0.456175066,47.2526804,46.8873654,8714.22732,6535.19489,6422.97369
